key,name,description,ticker,startMoment,endMoment,moreInfo,draftMode,key:sponsor
#base - entity
sponsorship-01, , , , , , ,true, 
#name - errata
sponsorship-02, ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB02-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB03-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#description - errata
sponsorship-04,"Lorem ipsum dolor sit amet, consectetu", ,AB04-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-05,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",AB05-\wwwwwww,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
#ticker - errata
sponsorship-06,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",A01-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-07,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",ABC01-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-08,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB1-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-09,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB001-1a2b3c4,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
sponsorship-10,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",AB01-1a2b,2025/01/01 0:00,2025/02/01 0:00,http://lorem.com/ipsum,true,sponsor-01
